1,0,0,0,0,0,0,0,0,0,0,0,0.337349398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138694639,0.119238477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134615385,0,0.184210526,0,0,0,0.311111111,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0.879518072,0,0,0,0,0.337349398,0.126126126,0,0.168674699,0,0,0,0.113913751,0,0.337349398,0.191780822,0.113913751,0.118644068,0,0,0,0,0,0,0,0,0.120793788,0.134615385,0,0,0,0.144329897,0,0.252252252,0.252252252,0.288659794,0,0,0.405797101,0.237288136,0,0,0,0,0,0.368421053,0,0,0,0,0.191780822,0,0,0,0.168674699,0,0.155555556,0,0,0,0,0,0,0,0,0,0,0,0,0.120793788,0,0,0,0.280561122,0,0.144329897,0,0,0,0,0,0,0,0.131086142,0,0,0,0,0,0,0,0,0,0.155555556,0,0
0,0,0,0.879518072,1,0,0,0,0,0.311111111,0.118644068,0,0.155555556,0,0,0,0.107775212,0,0.311111111,0.183006536,0.107775212,0.112,0,0,0,0,0,0,0,0,0.113913751,0.126126126,0,0,0,0.134615385,0,0.237288136,0.237288136,0.269230769,0,0,0.368421053,0.224,0,0,0,0,0,0.337349398,0,0,0,0,0.183006536,0,0,0,0.155555556,0,0.144329897,0,0,0,0,0,0,0,0,0,0,0,0,0.113913751,0,0,0,0.262172285,0,0.134615385,0,0,0,0,0,0,0,0.123022847,0,0,0,0,0,0,0,0,0,0.144329897,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337349398,0,0,0,0,0,0,0,0,0,0,0,0,0.257116621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257116621,0,0,0,0.301724138,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355932203,0,0,0,0,0,0,0,0,0,0,0,0.318181818,0.318449874,0.474576271,0,0,0,0,0.126126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0.354166667,0,0,0,0,0,0,0,0,0.577319588,0,0,0.235888795,0,0.235888795,0.154355017,0,0,0,0,0,0,0,0,0,0,0,0.254545455,0,0,0,0,0.451612903,0.147523709,0,0,0,0,0.269230769,0,0,0,0,0,0,0,0,0,0,0,0.355932203,0,0,0.368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284348865,0,0,0,0,0,0,0,0,0,0,0,0,0.337349398,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.337349398,0.311111111,0,0,0,0,1,0.118644068,0,0.155555556,0,0,0,0.107775212,0,0.622222222,0.366013072,0.107775212,0.112,0,0,0,0,0,0,0,0,0.113913751,0.126126126,0,0,0,0.134615385,0,0.355932203,0.355932203,0.403846154,0,0,0.368421053,0.448,0,0,0,0,0,0.337349398,0,0,0,0,0.366013072,0,0,0,0.155555556,0,0.144329897,0,0,0,0,0,0,0,0,0,0,0,0,0.113913751,0,0,0,0.262172285,0,0.134615385,0,0,0,0,0,0,0,0.123022847,0,0,0,0,0,0,0,0,0,0.144329897,0,0
